Ephemeris for Jupiter,,,,,,,
,DATE,,Rise,Culm,Set,Approx,Constellation
Year,Month,Day,,,,Mag.,
2023,Jul,1,01:40,08:13,14:45,-2.2,Aries
2023,Jul,8,01:16,07:50,14:23,-2.3,Aries
2023,Jul,15,00:52,07:26,14:01,-2.3,Aries
2023,Jul,22,00:28,07:03,13:38,-2.4,Aries
2023,Aug,1,23:52,06:28,13:04,-2.4,Aries
2023,Aug,8,23:27,06:03,12:39,-2.5,Aries
2023,Aug,15,23:02,05:38,12:14,-2.5,Aries
2023,Aug,22,22:35,05:12,11:49,-2.6,Aries
2023,Sep,1,21:57,04:34,11:11,-2.6,Aries
2023,Sep,8,21:30,04:06,10:43,-2.7,Aries
2023,Sep,15,21:02,03:38,10:15,-2.7,Aries
2023,Sep,22,20:33,03:09,09:46,-2.8,Aries
2023,Oct,1,19:56,02:32,09:07,-2.8,Aries
2023,Oct,8,19:26,02:02,08:37,-2.8,Aries
2023,Oct,15,18:56,01:31,08:06,-2.9,Aries
2023,Oct,22,18:26,01:00,07:34,-2.9,Aries
2023,Nov,1,17:42,00:16,06:49,-2.9,Aries
2023,Nov,8,17:08,23:40,06:13,-2.9,Aries
2023,Nov,15,16:37,23:09,05:41,-2.9,Aries
2023,Nov,22,16:07,22:38,05:10,-2.9,Aries
2023,Dec,1,15:29,21:59,04:30,-2.8,Aries
2023,Dec,8,14:59,21:29,03:59,-2.8,Aries
2023,Dec,15,14:30,21:00,03:30,-2.7,Aries
2023,Dec,22,14:01,20:31,03:01,-2.7,Aries
2024,Jan,1,13:21,19:51,02:21,-2.6,Aries
2024,Jan,8,12:54,19:24,01:54,-2.6,Aries
2024,Jan,15,12:27,18:57,01:27,-2.5,Aries
2024,Jan,22,12:01,18:31,01:02,-2.5,Aries
2024,Feb,1,11:24,17:55,00:27,-2.4,Aries
2024,Feb,8,10:59,17:31,00:03,-2.3,Aries
2024,Feb,15,10:34,17:07,23:40,-2.3,Aries
2024,Feb,22,10:10,16:43,23:17,-2.3,Aries
2024,Mar,1,09:42,16:17,22:51,-2.2,Aries
2024,Mar,8,09:19,15:54,22:30,-2.2,Aries
2024,Mar,15,08:55,15:32,22:08,-2.1,Aries
2024,Mar,22,08:32,15:10,21:47,-2.1,Aries
2024,Apr,1,08:00,14:39,21:18,-2.1,Aries
2024,Apr,8,07:37,14:17,20:57,-2,Aries
2024,Apr,15,07:15,13:56,20:37,-2,Aries
2024,Apr,22,06:53,13:35,20:17,-2,Aries
2024,May,1,06:24,13:08,19:51,-2,Taurus
2024,May,8,06:02,12:47,19:32,-2,Taurus
2024,May,15,05:41,12:26,19:12,-2,Taurus
2024,May,22,05:19,12:05,18:52,-2,Taurus
2024,Jun,1,04:48,11:36,18:24,-2,Taurus
2024,Jun,8,04:26,11:15,18:04,-2,Taurus
2024,Jun,15,04:05,10:54,17:44,-2,Taurus
2024,Jun,22,03:43,10:33,17:24,-2,Taurus
2024,Jul,1,03:15,10:06,16:57,-2,Taurus
2024,Jul,8,02:53,09:45,16:37,-2.1,Taurus
2024,Jul,15,02:32,09:24,16:16,-2.1,Taurus
2024,Jul,22,02:09,09:02,15:55,-2.1,Taurus
2024,Aug,1,01:37,08:31,15:24,-2.1,Taurus
2024,Aug,8,01:15,08:08,15:02,-2.2,Taurus
2024,Aug,15,00:52,07:46,14:40,-2.2,Taurus
2024,Aug,22,00:28,07:23,14:17,-2.3,Taurus
2024,Sep,1,23:54,06:49,13:43,-2.3,Taurus
2024,Sep,8,23:30,06:24,13:19,-2.4,Taurus
2024,Sep,15,23:05,05:59,12:54,-2.4,Taurus
2024,Sep,22,22:39,05:34,12:29,-2.4,Taurus
2024,Oct,1,22:05,05:00,11:55,-2.5,Taurus
2024,Oct,8,21:38,04:33,11:28,-2.6,Taurus
2024,Oct,15,21:11,04:06,11:00,-2.6,Taurus
2024,Oct,22,20:42,03:37,10:32,-2.6,Taurus
2024,Nov,1,20:01,02:55,09:50,-2.7,Taurus
2024,Nov,8,19:31,02:25,09:20,-2.7,Taurus
2024,Nov,15,19:00,01:55,08:49,-2.8,Taurus
2024,Nov,22,18:29,01:24,08:18,-2.8,Taurus
2024,Dec,1,17:49,00:43,07:37,-2.8,Taurus
2024,Dec,8,17:18,00:12,07:06,-2.8,Taurus
2024,Dec,15,16:42,23:36,06:30,-2.8,Taurus
2024,Dec,22,16:11,23:05,05:58,-2.8,Taurus
2025,Jan,1,15:27,22:20,05:14,-2.7,Taurus
2025,Jan,8,14:57,21:50,04:43,-2.7,Taurus
2025,Jan,15,14:27,21:20,04:13,-2.7,Taurus
2025,Jan,22,13:58,20:51,03:44,-2.6,Taurus
2025,Feb,1,13:17,20:10,03:03,-2.6,Taurus
2025,Feb,8,12:50,19:43,02:35,-2.5,Taurus
2025,Feb,15,12:23,19:16,02:09,-2.5,Taurus
2025,Feb,22,11:56,18:50,01:43,-2.4,Taurus
2025,Mar,1,11:31,18:24,01:17,-2.3,Taurus
2025,Mar,8,11:06,17:59,00:53,-2.3,Taurus
2025,Mar,15,10:41,17:35,00:29,-2.2,Taurus
2025,Mar,22,10:17,17:11,00:05,-2.2,Taurus
2025,Apr,1,09:43,16:38,23:33,-2.1,Taurus
2025,Apr,8,09:20,16:15,23:10,-2.1,Taurus
2025,Apr,15,08:57,15:53,22:48,-2.1,Taurus
2025,Apr,22,08:35,15:31,22:27,-2,Taurus
2025,May,1,08:07,15:03,21:59,-2,Taurus
2025,May,8,07:45,14:42,21:38,-2,Taurus
2025,May,15,07:24,14:21,21:17,-1.9,Taurus
2025,May,22,07:03,14:00,20:57,-1.9,Taurus
2025,Jun,1,06:33,13:30,20:27,-1.9,Taurus
2025,Jun,8,06:12,13:09,20:06,-1.9,Taurus
2025,Jun,15,05:51,12:49,19:46,-1.9,Gemini
2025,Jun,22,05:31,12:28,19:25,-1.9,Gemini
2025,Jul,1,05:04,12:02,18:59,-1.9,Gemini
2025,Jul,8,04:44,11:41,18:38,-1.9,Gemini
2025,Jul,15,04:23,11:20,18:17,-1.9,Gemini
2025,Jul,22,04:03,10:59,17:56,-1.9,Gemini
All times computed for New Delhi (latitude 28.64; longitude 77.22) and expressed in New Delhi time.,,,,,,,
Ephemeris computed by Dominic Ford.,,,,,,,
<https://in-the-sky.org/>,,,,,,,
