Ephemeris for Mars,,,,,,,
,DATE,,Rise,Culm,Set,Approx,Constellation
Year,Month,Day,,,,Mag.,
2023,Jul,1,08:54,15:30,22:06,1.7,Leo
2023,Jul,8,08:46,15:19,21:51,1.7,Leo
2023,Jul,15,08:39,15:07,21:36,1.8,Leo
2023,Jul,22,08:31,14:56,21:21,1.8,Leo
2023,Aug,1,08:20,14:40,20:59,1.8,Leo
2023,Aug,8,08:13,14:28,20:44,1.8,Leo
2023,Aug,15,08:05,14:17,20:28,1.8,Leo
2023,Aug,22,07:58,14:05,20:13,1.8,Virgo
2023,Sep,1,07:48,13:49,19:51,1.8,Virgo
2023,Sep,8,07:41,13:38,19:36,1.7,Virgo
2023,Sep,15,07:34,13:27,19:21,1.7,Virgo
2023,Sep,22,07:27,13:17,19:06,1.7,Virgo
2023,Oct,1,07:19,13:03,18:48,1.7,Virgo
2023,Oct,8,07:13,12:53,18:34,1.6,Virgo
2023,Oct,15,07:07,12:44,18:20,1.6,Virgo
2023,Oct,22,07:02,12:34,18:07,1.6,Virgo
2023,Nov,1,06:54,12:22,17:49,1.5,Libra
2023,Nov,8,06:50,12:14,17:38,1.5,Libra
2023,Nov,15,06:45,12:06,17:26,1.4,Libra
2023,Nov,22,06:41,11:59,17:16,1.4,Libra
2023,Dec,1,06:36,11:50,17:04,1.4,Scorpius
2023,Dec,8,06:32,11:44,16:55,1.4,Ophiuchus
2023,Dec,15,06:28,11:38,16:47,1.4,Ophiuchus
2023,Dec,22,06:24,11:32,16:40,1.4,Ophiuchus
2024,Jan,1,06:18,11:25,16:32,1.4,Sagittarius
2024,Jan,8,06:14,11:20,16:27,1.4,Sagittarius
2024,Jan,15,06:09,11:16,16:22,1.4,Sagittarius
2024,Jan,22,06:03,11:11,16:19,1.4,Sagittarius
2024,Feb,1,05:54,11:04,16:14,1.3,Sagittarius
2024,Feb,8,05:48,11:00,16:12,1.3,Sagittarius
2024,Feb,15,05:40,10:55,16:09,1.3,Capricornus
2024,Feb,22,05:32,10:50,16:07,1.3,Capricornus
2024,Mar,1,05:22,10:43,16:05,1.3,Capricornus
2024,Mar,8,05:12,10:37,16:03,1.2,Capricornus
2024,Mar,15,05:02,10:31,16:01,1.2,Capricornus
2024,Mar,22,04:51,10:25,15:59,1.2,Aquarius
2024,Apr,1,04:35,10:15,15:55,1.2,Aquarius
2024,Apr,8,04:24,10:08,15:53,1.2,Aquarius
2024,Apr,15,04:12,10:01,15:50,1.2,Aquarius
2024,Apr,22,03:59,09:53,15:47,1.1,Aquarius
2024,May,1,03:43,09:43,15:43,1.1,Pisces
2024,May,8,03:31,09:36,15:40,1.1,Pisces
2024,May,15,03:18,09:28,15:37,1.1,Pisces
2024,May,22,03:06,09:20,15:33,1.1,Pisces
2024,Jun,1,02:48,09:08,15:29,1.1,Pisces
2024,Jun,8,02:36,09:00,15:25,1,Pisces
2024,Jun,15,02:24,08:53,15:21,1,Aries
2024,Jun,22,02:12,08:45,15:18,1,Aries
2024,Jul,1,01:57,08:35,15:13,1,Aries
2024,Jul,8,01:46,08:27,15:09,1,Aries
2024,Jul,15,01:35,08:20,15:04,0.9,Taurus
2024,Jul,22,01:25,08:12,15:00,0.9,Taurus
2024,Aug,1,01:10,08:01,14:52,0.9,Taurus
2024,Aug,8,01:01,07:54,14:47,0.9,Taurus
2024,Aug,15,00:51,07:46,14:41,0.8,Taurus
2024,Aug,22,00:42,07:38,14:34,0.8,Taurus
2024,Sep,1,00:28,07:25,14:23,0.7,Taurus
2024,Sep,8,00:19,07:16,14:14,0.7,Gemini
2024,Sep,15,00:09,07:07,14:05,0.6,Gemini
2024,Sep,22,23:59,06:56,13:54,0.6,Gemini
2024,Oct,1,23:45,06:42,13:39,0.5,Gemini
2024,Oct,8,23:34,06:30,13:26,0.4,Gemini
2024,Oct,15,23:22,06:17,13:13,0.3,Gemini
2024,Oct,22,23:09,06:03,12:58,0.2,Gemini
2024,Nov,1,22:48,05:41,12:34,0.1,Cancer
2024,Nov,8,22:31,05:24,12:16,0,Cancer
2024,Nov,15,22:12,05:05,11:57,-0.2,Cancer
2024,Nov,22,21:52,04:44,11:36,-0.3,Cancer
2024,Dec,1,21:22,04:14,11:06,-0.5,Cancer
2024,Dec,8,20:55,03:48,10:40,-0.7,Cancer
2024,Dec,15,20:25,03:19,10:13,-0.8,Cancer
2024,Dec,22,19:52,02:47,09:42,-1,Cancer
2025,Jan,1,18:59,01:57,08:55,-1.2,Cancer
2025,Jan,8,18:19,01:19,08:19,-1.3,Cancer
2025,Jan,15,17:38,00:40,07:42,-1.4,Gemini
2025,Jan,22,16:53,23:56,07:00,-1.3,Gemini
2025,Feb,1,15:57,23:02,06:07,-1.1,Gemini
2025,Feb,8,15:21,22:27,05:32,-0.9,Gemini
2025,Feb,15,14:48,21:54,04:59,-0.7,Gemini
2025,Feb,22,14:19,21:24,04:29,-0.5,Gemini
2025,Mar,1,13:52,20:57,04:01,-0.3,Gemini
2025,Mar,8,13:28,20:32,03:36,-0.1,Gemini
2025,Mar,15,13:07,20:09,03:12,0.1,Gemini
2025,Mar,22,12:47,19:49,02:50,0.2,Gemini
2025,Apr,1,12:22,19:22,02:21,0.4,Gemini
2025,Apr,8,12:07,19:05,02:02,0.6,Gemini
2025,Apr,15,11:52,18:48,01:44,0.7,Cancer
2025,Apr,22,11:39,18:33,01:27,0.8,Cancer
2025,May,1,11:23,18:14,01:05,0.9,Cancer
2025,May,8,11:11,18:00,00:48,1,Cancer
2025,May,15,11:00,17:46,00:32,1.1,Cancer
2025,May,22,10:49,17:32,00:15,1.2,Cancer
2025,Jun,1,10:35,17:14,23:52,1.3,Leo
2025,Jun,8,10:25,17:01,23:36,1.3,Leo
2025,Jun,15,10:16,16:48,23:20,1.4,Leo
2025,Jun,22,10:06,16:35,23:04,1.4,Leo
2025,Jul,1,09:55,16:19,22:43,1.5,Leo
2025,Jul,8,09:46,16:07,22:27,1.5,Leo
2025,Jul,15,09:38,15:54,22:11,1.5,Leo
2025,Jul,22,09:29,15:42,21:55,1.6,Leo
All times computed for New Delhi (latitude 28.64; longitude 77.22) and expressed in New Delhi time.,,,,,,,
Ephemeris computed by Dominic Ford.,,,,,,,
<https://in-the-sky.org/>,,,,,,,
