Ephemeris for Saturn,,,,,,,
,DATE,,Rise,Culm,Set,Approx,Constellation
Year,Month,Day,,,,Mag.,
2023,Jul,1,22:43,04:22,10:01,0.8,Aquarius
2023,Jul,8,22:15,03:54,09:33,0.8,Aquarius
2023,Jul,15,21:47,03:25,09:04,0.7,Aquarius
2023,Jul,22,21:18,02:57,08:35,0.7,Aquarius
2023,Aug,1,20:37,02:15,07:53,0.6,Aquarius
2023,Aug,8,20:08,01:46,07:24,0.5,Aquarius
2023,Aug,15,19:39,01:17,06:54,0.5,Aquarius
2023,Aug,22,19:10,00:47,06:24,0.4,Aquarius
2023,Sep,1,18:29,00:05,05:41,0.4,Aquarius
2023,Sep,8,17:56,23:32,05:07,0.4,Aquarius
2023,Sep,15,17:27,23:02,04:37,0.5,Aquarius
2023,Sep,22,16:58,22:33,04:08,0.5,Aquarius
2023,Oct,1,16:21,21:55,03:30,0.6,Aquarius
2023,Oct,8,15:52,21:27,03:01,0.6,Aquarius
2023,Oct,15,15:24,20:58,02:32,0.6,Aquarius
2023,Oct,22,14:56,20:30,02:03,0.7,Aquarius
2023,Nov,1,14:16,19:50,01:23,0.7,Aquarius
2023,Nov,8,13:49,19:22,00:56,0.8,Aquarius
2023,Nov,15,13:21,18:55,00:29,0.8,Aquarius
2023,Nov,22,12:54,18:28,00:02,0.8,Aquarius
2023,Dec,1,12:20,17:54,23:28,0.9,Aquarius
2023,Dec,8,11:53,17:28,23:02,0.9,Aquarius
2023,Dec,15,11:27,17:02,22:37,0.9,Aquarius
2023,Dec,22,11:01,16:36,22:12,0.9,Aquarius
2024,Jan,1,10:24,16:00,21:36,0.9,Aquarius
2024,Jan,8,09:58,15:35,21:12,1,Aquarius
2024,Jan,15,09:33,15:10,20:47,1,Aquarius
2024,Jan,22,09:07,14:45,20:23,1,Aquarius
2024,Feb,1,08:31,14:10,19:49,1,Aquarius
2024,Feb,8,08:06,13:46,19:25,1,Aquarius
2024,Feb,15,07:41,13:21,19:02,1,Aquarius
2024,Feb,22,07:16,12:57,18:38,1,Aquarius
2024,Mar,1,06:48,12:29,18:11,1,Aquarius
2024,Mar,8,06:22,12:05,17:47,1,Aquarius
2024,Mar,15,05:57,11:41,17:24,1,Aquarius
2024,Mar,22,05:32,11:16,17:00,1.1,Aquarius
2024,Apr,1,04:56,10:41,16:26,1.1,Aquarius
2024,Apr,8,04:31,10:17,16:02,1.1,Aquarius
2024,Apr,15,04:06,09:52,15:38,1.2,Aquarius
2024,Apr,22,03:40,09:27,15:13,1.2,Aquarius
2024,May,1,03:07,08:55,14:42,1.2,Aquarius
2024,May,8,02:42,08:29,14:17,1.2,Aquarius
2024,May,15,02:16,08:04,13:52,1.2,Aquarius
2024,May,22,01:50,07:38,13:26,1.2,Aquarius
2024,Jun,1,01:12,07:01,12:50,1.2,Aquarius
2024,Jun,8,00:45,06:34,12:23,1.1,Aquarius
2024,Jun,15,00:18,06:08,11:57,1.1,Aquarius
2024,Jun,22,23:51,05:41,11:30,1.1,Aquarius
2024,Jul,1,23:16,05:06,10:55,1,Aquarius
2024,Jul,8,22:49,04:38,10:27,1,Aquarius
2024,Jul,15,22:21,04:10,09:59,1,Aquarius
2024,Jul,22,21:53,03:42,09:30,0.9,Aquarius
2024,Aug,1,21:13,03:01,08:49,0.8,Aquarius
2024,Aug,8,20:44,02:32,08:20,0.8,Aquarius
2024,Aug,15,20:15,02:03,07:50,0.7,Aquarius
2024,Aug,22,19:47,01:34,07:21,0.7,Aquarius
2024,Sep,1,19:05,00:52,06:38,0.6,Aquarius
2024,Sep,8,18:36,00:22,06:08,0.6,Aquarius
2024,Sep,15,18:03,23:49,05:34,0.6,Aquarius
2024,Sep,22,17:34,23:19,05:04,0.6,Aquarius
2024,Oct,1,16:57,22:41,04:26,0.7,Aquarius
2024,Oct,8,16:28,22:12,03:56,0.7,Aquarius
2024,Oct,15,16:00,21:43,03:27,0.7,Aquarius
2024,Oct,22,15:31,21:15,02:58,0.8,Aquarius
2024,Nov,1,14:51,20:34,02:17,0.8,Aquarius
2024,Nov,8,14:23,20:06,01:49,0.9,Aquarius
2024,Nov,15,13:55,19:38,01:21,0.9,Aquarius
2024,Nov,22,13:28,19:11,00:54,0.9,Aquarius
2024,Dec,1,12:53,18:36,00:19,1,Aquarius
2024,Dec,8,12:26,18:09,23:53,1,Aquarius
2024,Dec,15,11:59,17:43,23:27,1,Aquarius
2024,Dec,22,11:32,17:17,23:01,1.1,Aquarius
2025,Jan,1,10:55,16:40,22:25,1.1,Aquarius
2025,Jan,8,10:29,16:14,22:00,1.1,Aquarius
2025,Jan,15,10:03,15:49,21:35,1.1,Aquarius
2025,Jan,22,09:38,15:24,21:11,1.1,Aquarius
2025,Feb,1,09:01,14:49,20:36,1.1,Aquarius
2025,Feb,8,08:36,14:24,20:12,1.1,Aquarius
2025,Feb,15,08:10,13:59,19:48,1.1,Aquarius
2025,Feb,22,07:45,13:35,19:25,1.1,Aquarius
2025,Mar,1,07:20,13:11,19:01,1.1,Aquarius
2025,Mar,8,06:55,12:46,18:37,1.1,Aquarius
2025,Mar,15,06:30,12:22,18:14,1.1,Aquarius
2025,Mar,22,06:05,11:57,17:50,1.2,Aquarius
2025,Apr,1,05:29,11:23,17:16,1.2,Aquarius
2025,Apr,8,05:04,10:58,16:52,1.2,Aquarius
2025,Apr,15,04:39,10:34,16:29,1.2,Aquarius
2025,Apr,22,04:13,10:09,16:05,1.2,Pisces
2025,May,1,03:41,09:37,15:34,1.2,Pisces
2025,May,8,03:15,09:12,15:09,1.2,Pisces
2025,May,15,02:50,08:47,14:44,1.2,Pisces
2025,May,22,02:24,08:22,14:20,1.1,Pisces
2025,Jun,1,01:47,07:45,13:44,1.1,Pisces
2025,Jun,8,01:20,07:19,13:18,1.1,Pisces
2025,Jun,15,00:54,06:53,12:52,1.1,Pisces
2025,Jun,22,00:27,06:27,12:26,1,Pisces
2025,Jul,1,23:53,05:52,11:52,1,Pisces
2025,Jul,8,23:26,05:25,11:25,1,Pisces
2025,Jul,15,22:58,04:58,10:57,0.9,Pisces
2025,Jul,22,22:31,04:30,10:29,0.9,Pisces
All times computed for New Delhi (latitude 28.64; longitude 77.22) and expressed in New Delhi time.,,,,,,,
Ephemeris computed by Dominic Ford.,,,,,,,
<https://in-the-sky.org/>,,,,,,,
